diseaseName,country,state,lga,year,epiWeek,suspectedCases,confirmedCases,deaths,rainfall,temperature,humidity
AFP,Nigeria,Enugu,Enugu LGA1,2019,43,127,0,0,116.9,25.6,65.5
AFP,Nigeria,Oyo,Oyo LGA1,2019,43,127,0,0,69.6,36.5,70.1
AFP,Nigeria,Ogun,Ogun LGA1,2019,43,127,0,0,151.6,34.3,88.9
Lassa Fever,Nigeria,Enugu,Enugu LGA2,2019,44,101,11,1,9.7,30.1,40.8
Lassa Fever,Nigeria,Enugu,Enugu LGA2,2019,44,101,11,1,43.3,24.5,32.3
Lassa Fever,Nigeria,Oyo,Oyo LGA1,2019,44,101,11,1,130.3,32.5,54.1
CSM,Nigeria,Ogun,Ogun LGA2,2019,44,17,0,1,73.8,26.7,75.6
CSM,Nigeria,Oyo,Oyo LGA2,2019,44,17,0,1,39.1,32.5,67.3
CSM,Nigeria,Oyo,Oyo LGA1,2019,44,17,0,1,41.9,35.4,83.6
Yellow Fever,Nigeria,Kano,Kano LGA1,2019,44,110,0,1,130.2,24.2,53.7
Yellow Fever,Nigeria,Enugu,Enugu LGA1,2019,44,110,0,1,58.8,25.7,37.5
Yellow Fever,Nigeria,Kano,Kano LGA2,2019,44,110,0,1,113.3,28.5,27.4
Cholera,Nigeria,Enugu,Enugu LGA2,2019,44,5,3,0,190.2,28.0,90.4
Cholera,Nigeria,Rivers,Rivers LGA2,2019,44,5,3,0,208.9,30.3,92.5
Cholera,Nigeria,Oyo,Oyo LGA2,2019,44,5,3,0,212.4,27.2,77.7
Measles,Nigeria,FCT,FCT LGA2,2019,44,403,0,2,93.8,32.6,88.2
Measles,Nigeria,Lagos,Lagos LGA2,2019,44,403,0,2,33.9,37.4,63.5
Measles,Nigeria,Oyo,Oyo LGA1,2019,44,403,0,2,174.7,34.4,50.6
Mpox,Nigeria,Kano,Kano LGA1,2019,44,1,0,0,82.7,28.3,44.4
Mpox,Nigeria,Oyo,Oyo LGA2,2019,44,1,0,0,148.1,25.5,89.6
Mpox,Nigeria,Oyo,Oyo LGA1,2019,44,1,0,0,113.8,28.7,32.3
AFP,Nigeria,Kaduna,Kaduna LGA2,2019,44,104,0,0,178.1,24.3,39.1
AFP,Nigeria,Oyo,Oyo LGA2,2019,44,104,0,0,156.2,30.2,29.3
AFP,Nigeria,Oyo,Oyo LGA2,2019,44,104,0,0,45.2,33.5,49.7
Lassa Fever,Nigeria,Rivers,Rivers LGA1,2019,45,107,10,2,9.8,35.0,80.8
Lassa Fever,Nigeria,Enugu,Enugu LGA1,2019,45,107,10,2,161.1,36.9,68.0
Lassa Fever,Nigeria,Kaduna,Kaduna LGA1,2019,45,107,10,2,67.4,33.3,55.7
CSM,Nigeria,Enugu,Enugu LGA2,2019,45,15,0,0,86.6,26.3,37.3
CSM,Nigeria,Oyo,Oyo LGA1,2019,45,15,0,0,174.5,34.1,57.7
CSM,Nigeria,Kano,Kano LGA2,2019,45,15,0,0,37.2,27.6,31.6
Yellow Fever,Nigeria,Rivers,Rivers LGA1,2019,45,97,0,3,50.9,33.4,28.8
Yellow Fever,Nigeria,Kano,Kano LGA1,2019,45,97,0,3,46.1,35.9,83.7
Yellow Fever,Nigeria,Rivers,Rivers LGA1,2019,45,97,0,3,61.0,34.8,20.2
Cholera,Nigeria,Oyo,Oyo LGA2,2019,45,33,11,0,230.0,28.3,86.1
Cholera,Nigeria,FCT,FCT LGA2,2019,45,33,11,0,147.4,28.6,79.0
Cholera,Nigeria,Lagos,Lagos LGA2,2019,45,33,11,0,174.8,30.3,89.0
Measles,Nigeria,Enugu,Enugu LGA2,2019,45,452,0,10,26.5,38.0,30.7
Measles,Nigeria,Kano,Kano LGA2,2019,45,452,0,10,79.0,34.0,21.1
Measles,Nigeria,Oyo,Oyo LGA1,2019,45,452,0,10,81.8,26.2,57.0
Mpox,Nigeria,FCT,FCT LGA1,2019,45,0,0,0,134.8,29.9,25.8
Mpox,Nigeria,Oyo,Oyo LGA1,2019,45,0,0,0,68.4,32.6,45.0
Mpox,Nigeria,Kaduna,Kaduna LGA1,2019,45,0,0,0,17.4,26.0,46.1
AFP,Nigeria,Kano,Kano LGA2,2019,45,141,0,0,111.9,24.5,80.6
AFP,Nigeria,Kaduna,Kaduna LGA1,2019,45,141,0,0,108.1,29.4,38.1
AFP,Nigeria,Enugu,Enugu LGA1,2019,45,141,0,0,46.5,29.9,59.3
Lassa Fever,Nigeria,Enugu,Enugu LGA1,2019,46,101,13,0,72.2,25.6,42.3
Lassa Fever,Nigeria,Enugu,Enugu LGA2,2019,46,101,13,0,139.5,31.3,39.3
Lassa Fever,Nigeria,FCT,FCT LGA2,2019,46,101,13,0,117.2,26.5,89.0
CSM,Nigeria,Ogun,Ogun LGA1,2019,46,18,0,0,153.6,24.1,77.8
CSM,Nigeria,FCT,FCT LGA1,2019,46,18,0,0,86.1,27.7,63.5
CSM,Nigeria,Kano,Kano LGA1,2019,46,18,0,0,49.1,30.7,40.7
Yellow Fever,Nigeria,Rivers,Rivers LGA1,2019,46,71,0,1,133.4,34.3,32.8
Yellow Fever,Nigeria,Rivers,Rivers LGA2,2019,46,71,0,1,58.4,27.0,52.6
Yellow Fever,Nigeria,Rivers,Rivers LGA2,2019,46,71,0,1,6.1,35.1,70.7
Cholera,Nigeria,Oyo,Oyo LGA2,2019,46,34,8,0,136.2,29.1,81.8
Cholera,Nigeria,Oyo,Oyo LGA1,2019,46,34,8,0,123.3,30.3,78.9
Cholera,Nigeria,Kaduna,Kaduna LGA1,2019,46,34,8,0,174.1,30.5,88.1
Measles,Nigeria,Kaduna,Kaduna LGA2,2019,46,427,0,0,135.9,31.5,46.0
Measles,Nigeria,Lagos,Lagos LGA2,2019,46,427,0,0,31.5,29.8,33.8
Measles,Nigeria,Enugu,Enugu LGA1,2019,46,427,0,0,88.7,33.6,43.3
Mpox,Nigeria,Oyo,Oyo LGA1,2019,46,0,0,0,117.0,31.0,48.4
Mpox,Nigeria,Kaduna,Kaduna LGA2,2019,46,0,0,0,68.6,34.9,26.4
Mpox,Nigeria,Kano,Kano LGA1,2019,46,0,0,0,60.6,24.5,46.7
AFP,Nigeria,Enugu,Enugu LGA1,2019,46,119,0,0,33.4,37.3,31.0
AFP,Nigeria,Oyo,Oyo LGA2,2019,46,119,0,0,127.6,27.2,62.0
AFP,Nigeria,Ogun,Ogun LGA1,2019,46,119,0,0,173.2,31.5,82.0
Lassa Fever,Nigeria,Rivers,Rivers LGA1,2019,47,89,8,0,67.0,29.0,72.4
Lassa Fever,Nigeria,Oyo,Oyo LGA1,2019,47,89,8,0,144.9,29.6,40.8
Lassa Fever,Nigeria,Lagos,Lagos LGA2,2019,47,89,8,0,138.5,34.3,30.1
CSM,Nigeria,Lagos,Lagos LGA2,2019,47,18,0,0,40.4,30.0,69.9
CSM,Nigeria,Oyo,Oyo LGA1,2019,47,18,0,0,8.8,26.3,86.5
CSM,Nigeria,Ogun,Ogun LGA1,2019,47,18,0,0,10.6,25.2,88.2
Yellow Fever,Nigeria,Oyo,Oyo LGA2,2019,47,83,0,0,29.3,33.2,57.4
Yellow Fever,Nigeria,Oyo,Oyo LGA1,2019,47,83,0,0,52.1,28.5,84.0
Yellow Fever,Nigeria,Kaduna,Kaduna LGA2,2019,47,83,0,0,124.5,25.1,68.5
Cholera,Nigeria,Lagos,Lagos LGA2,2019,47,4,2,0,233.9,27.1,92.1
Cholera,Nigeria,Lagos,Lagos LGA2,2019,47,4,2,0,226.1,30.0,83.3
Cholera,Nigeria,FCT,FCT LGA1,2019,47,4,2,0,196.0,28.3,94.9
Measles,Nigeria,Ogun,Ogun LGA1,2019,47,446,0,1,16.5,34.3,80.9
Measles,Nigeria,Kaduna,Kaduna LGA1,2019,47,446,0,1,119.1,36.6,84.4
Measles,Nigeria,Rivers,Rivers LGA1,2019,47,446,0,1,175.4,33.6,42.5
Mpox,Nigeria,Lagos,Lagos LGA1,2019,47,1,0,0,52.7,35.3,21.9
Mpox,Nigeria,FCT,FCT LGA1,2019,47,1,0,0,11.0,29.1,87.1
Mpox,Nigeria,Enugu,Enugu LGA1,2019,47,1,0,0,126.0,29.3,38.5
AFP,Nigeria,Lagos,Lagos LGA2,2019,47,100,0,0,124.5,33.8,51.8
AFP,Nigeria,Kaduna,Kaduna LGA2,2019,47,100,0,0,105.6,29.5,61.0
AFP,Nigeria,Kano,Kano LGA1,2019,47,100,0,0,48.8,28.1,74.0
Lassa Fever,Nigeria,FCT,FCT LGA1,2019,48,90,8,2,21.9,30.6,28.0
Lassa Fever,Nigeria,Ogun,Ogun LGA2,2019,48,90,8,2,159.4,35.2,54.9
Lassa Fever,Nigeria,Enugu,Enugu LGA2,2019,48,90,8,2,11.4,29.7,21.9
CSM,Nigeria,Kaduna,Kaduna LGA2,2019,48,15,0,0,7.3,33.8,83.2
CSM,Nigeria,Oyo,Oyo LGA1,2019,48,15,0,0,125.2,33.4,55.4
CSM,Nigeria,Lagos,Lagos LGA2,2019,48,15,0,0,27.6,25.5,43.0
Yellow Fever,Nigeria,Ogun,Ogun LGA2,2019,48,61,0,3,103.6,30.9,39.7
Yellow Fever,Nigeria,Kaduna,Kaduna LGA2,2019,48,61,0,3,23.2,32.3,56.1
Yellow Fever,Nigeria,Rivers,Rivers LGA1,2019,48,61,0,3,5.6,28.9,50.2
Cholera,Nigeria,FCT,FCT LGA1,2019,48,14,5,1,167.9,28.3,89.6
Cholera,Nigeria,Enugu,Enugu LGA2,2019,48,14,5,1,223.2,29.9,79.0
Cholera,Nigeria,Kano,Kano LGA1,2019,48,14,5,1,171.6,29.8,86.1
Measles,Nigeria,FCT,FCT LGA2,2019,48,346,0,1,137.3,31.1,21.4
Measles,Nigeria,Rivers,Rivers LGA1,2019,48,346,0,1,92.9,25.4,80.5
Measles,Nigeria,Enugu,Enugu LGA1,2019,48,346,0,1,122.9,37.4,36.3
Mpox,Nigeria,Oyo,Oyo LGA1,2019,48,3,1,0,101.3,32.9,85.6
Mpox,Nigeria,Ogun,Ogun LGA1,2019,48,3,1,0,73.4,35.2,54.3
Mpox,Nigeria,Enugu,Enugu LGA2,2019,48,3,1,0,58.5,29.1,73.0
AFP,Nigeria,Kaduna,Kaduna LGA1,2019,48,116,0,0,104.7,32.7,50.3
AFP,Nigeria,Kano,Kano LGA1,2019,48,116,0,0,32.4,27.4,88.8
AFP,Nigeria,Kano,Kano LGA1,2019,48,116,0,0,138.3,34.6,45.6
Lassa Fever,Nigeria,Kano,Kano LGA2,2019,49,51,13,4,84.4,25.3,44.5
Lassa Fever,Nigeria,Kaduna,Kaduna LGA2,2019,49,51,13,4,14.1,27.8,55.4
Lassa Fever,Nigeria,FCT,FCT LGA1,2019,49,51,13,4,151.3,37.8,72.6
CSM,Nigeria,FCT,FCT LGA1,2019,49,9,0,0,18.5,30.3,47.3
CSM,Nigeria,Enugu,Enugu LGA1,2019,49,9,0,0,75.1,26.5,84.3
CSM,Nigeria,Rivers,Rivers LGA1,2019,49,9,0,0,72.6,27.7,31.1
Yellow Fever,Nigeria,Ogun,Ogun LGA2,2019,49,44,0,0,157.9,37.7,30.5
Yellow Fever,Nigeria,Ogun,Ogun LGA2,2019,49,44,0,0,126.8,31.2,79.0
Yellow Fever,Nigeria,Kaduna,Kaduna LGA2,2019,49,44,0,0,126.0,35.6,51.2
Cholera,Nigeria,Kaduna,Kaduna LGA1,2019,49,60,2,11,213.0,31.0,79.9
Cholera,Nigeria,Ogun,Ogun LGA2,2019,49,60,2,11,234.9,27.5,85.6
Cholera,Nigeria,Rivers,Rivers LGA2,2019,49,60,2,11,127.4,29.3,93.3
Measles,Nigeria,Lagos,Lagos LGA2,2019,49,0,0,0,77.0,32.2,69.8
Measles,Nigeria,Kano,Kano LGA1,2019,49,0,0,0,148.2,35.0,85.6
Measles,Nigeria,Lagos,Lagos LGA2,2019,49,0,0,0,80.7,31.9,64.9
Mpox,Nigeria,Ogun,Ogun LGA1,2019,49,2,0,0,45.7,25.0,25.5
Mpox,Nigeria,Kaduna,Kaduna LGA2,2019,49,2,0,0,136.9,33.5,46.7
Mpox,Nigeria,Enugu,Enugu LGA2,2019,49,2,0,0,18.0,29.9,37.9
AFP,Nigeria,Kano,Kano LGA1,2019,49,0,0,0,70.5,29.5,62.0
AFP,Nigeria,Rivers,Rivers LGA2,2019,49,0,0,0,100.4,33.6,64.5
AFP,Nigeria,Ogun,Ogun LGA2,2019,49,0,0,0,95.3,35.8,36.1
Lassa Fever,Nigeria,Ogun,Ogun LGA1,2019,50,79,4,1,178.9,27.6,64.6
Lassa Fever,Nigeria,FCT,FCT LGA1,2019,50,79,4,1,118.1,27.2,21.5
Lassa Fever,Nigeria,Kaduna,Kaduna LGA1,2019,50,79,4,1,123.8,27.8,71.8
CSM,Nigeria,FCT,FCT LGA2,2019,50,10,0,0,123.5,27.7,72.5
CSM,Nigeria,Lagos,Lagos LGA1,2019,50,10,0,0,120.4,37.2,55.8
CSM,Nigeria,Kano,Kano LGA2,2019,50,10,0,0,145.1,30.6,66.7
Yellow Fever,Nigeria,Enugu,Enugu LGA2,2019,50,46,1,0,118.3,37.6,24.4
Yellow Fever,Nigeria,Ogun,Ogun LGA2,2019,50,46,1,0,40.4,31.4,87.7
Yellow Fever,Nigeria,Rivers,Rivers LGA2,2019,50,46,1,0,145.9,31.9,78.8
Cholera,Nigeria,Ogun,Ogun LGA2,2019,50,5,0,0,163.6,29.2,81.9
Cholera,Nigeria,Ogun,Ogun LGA1,2019,50,5,0,0,134.6,27.2,77.1
Cholera,Nigeria,Rivers,Rivers LGA1,2019,50,5,0,0,248.3,27.2,85.6
Measles,Nigeria,Lagos,Lagos LGA1,2019,50,265,0,0,23.0,32.2,73.2
Measles,Nigeria,Lagos,Lagos LGA2,2019,50,265,0,0,165.3,24.4,65.4
Measles,Nigeria,Ogun,Ogun LGA1,2019,50,265,0,0,137.1,35.0,50.7
Mpox,Nigeria,Kaduna,Kaduna LGA2,2019,50,0,0,0,159.1,32.2,86.9
Mpox,Nigeria,Rivers,Rivers LGA1,2019,50,0,0,0,127.2,32.1,26.0
Mpox,Nigeria,Rivers,Rivers LGA2,2019,50,0,0,0,166.9,29.0,81.4
AFP,Nigeria,Ogun,Ogun LGA2,2019,50,79,0,0,103.2,35.2,35.4
AFP,Nigeria,Ogun,Ogun LGA1,2019,50,79,0,0,63.1,26.5,39.8
AFP,Nigeria,Ogun,Ogun LGA2,2019,50,79,0,0,15.2,35.8,28.6
Lassa Fever,Nigeria,Oyo,Oyo LGA1,2019,51,75,7,3,37.1,36.2,56.3
Lassa Fever,Nigeria,Oyo,Oyo LGA1,2019,51,75,7,3,62.8,25.7,33.3
Lassa Fever,Nigeria,Oyo,Oyo LGA2,2019,51,75,7,3,66.8,32.2,85.3
CSM,Nigeria,Ogun,Ogun LGA2,2019,51,8,0,0,158.2,26.0,30.9
CSM,Nigeria,Oyo,Oyo LGA2,2019,51,8,0,0,179.8,27.1,51.1
CSM,Nigeria,Kano,Kano LGA2,2019,51,8,0,0,117.5,37.9,34.2
Yellow Fever,Nigeria,Kano,Kano LGA2,2019,51,42,0,0,97.1,25.9,68.8
Yellow Fever,Nigeria,Oyo,Oyo LGA1,2019,51,42,0,0,157.6,32.2,50.3
Yellow Fever,Nigeria,Kaduna,Kaduna LGA1,2019,51,42,0,0,11.2,31.3,77.4
Cholera,Nigeria,Enugu,Enugu LGA2,2019,51,0,0,0,123.8,30.7,89.8
Cholera,Nigeria,Enugu,Enugu LGA2,2019,51,0,0,0,203.6,29.2,86.0
Cholera,Nigeria,Lagos,Lagos LGA2,2019,51,0,0,0,141.5,29.1,79.1
Measles,Nigeria,Kano,Kano LGA1,2019,51,222,0,0,22.6,32.7,75.8
Measles,Nigeria,Ogun,Ogun LGA2,2019,51,222,0,0,155.7,31.7,29.8
Measles,Nigeria,Rivers,Rivers LGA1,2019,51,222,0,0,171.6,27.7,33.5
Mpox,Nigeria,Enugu,Enugu LGA2,2019,51,0,0,0,161.1,36.8,88.5
Mpox,Nigeria,Ogun,Ogun LGA1,2019,51,0,0,0,40.3,37.3,39.2
Mpox,Nigeria,FCT,FCT LGA1,2019,51,0,0,0,117.8,32.7,86.3
AFP,Nigeria,Kano,Kano LGA2,2019,51,97,0,0,48.7,26.4,42.9
AFP,Nigeria,Enugu,Enugu LGA2,2019,51,97,0,0,39.8,34.7,84.9
AFP,Nigeria,FCT,FCT LGA1,2019,51,97,0,0,34.9,25.4,89.8
Lassa Fever,Nigeria,Kaduna,Kaduna LGA1,2019,52,93,16,4,13.2,36.0,42.6
Lassa Fever,Nigeria,Enugu,Enugu LGA2,2019,52,93,16,4,129.8,24.5,41.3
Lassa Fever,Nigeria,Kaduna,Kaduna LGA1,2019,52,93,16,4,169.0,37.1,53.8
CSM,Nigeria,FCT,FCT LGA2,2019,52,7,0,0,5.6,31.4,72.7
CSM,Nigeria,Kaduna,Kaduna LGA2,2019,52,7,0,0,20.1,29.1,48.6
CSM,Nigeria,Lagos,Lagos LGA2,2019,52,7,0,0,138.7,31.1,29.9
Yellow Fever,Nigeria,FCT,FCT LGA2,2019,52,33,0,0,169.7,33.9,55.8
Yellow Fever,Nigeria,Oyo,Oyo LGA2,2019,52,33,0,0,151.7,34.8,73.1
Yellow Fever,Nigeria,FCT,FCT LGA2,2019,52,33,0,0,81.9,37.5,25.7
Cholera,Nigeria,Ogun,Ogun LGA1,2019,52,9,0,0,157.8,30.3,93.7
Cholera,Nigeria,Kaduna,Kaduna LGA2,2019,52,9,0,0,221.3,27.5,77.8
Cholera,Nigeria,Kano,Kano LGA1,2019,52,9,0,0,150.3,28.2,85.4
Measles,Nigeria,Enugu,Enugu LGA1,2019,52,209,0,3,34.3,28.5,84.0
Measles,Nigeria,Kano,Kano LGA1,2019,52,209,0,3,96.2,32.6,32.2
Measles,Nigeria,Rivers,Rivers LGA2,2019,52,209,0,3,72.5,36.6,40.4
Mpox,Nigeria,Ogun,Ogun LGA1,2019,52,0,0,0,48.7,33.9,58.1
Mpox,Nigeria,Rivers,Rivers LGA1,2019,52,0,0,0,101.1,37.1,31.8
Mpox,Nigeria,FCT,FCT LGA2,2019,52,0,0,0,167.9,29.1,82.9
AFP,Nigeria,Lagos,Lagos LGA2,2019,52,55,0,0,69.4,33.3,88.0
AFP,Nigeria,Rivers,Rivers LGA1,2019,52,55,0,0,63.2,29.4,84.1
AFP,Nigeria,FCT,FCT LGA2,2019,52,55,0,0,7.8,25.2,82.8
Lassa Fever,Nigeria,Rivers,Rivers LGA2,2019,14,63,11,1,118.5,26.1,33.2
Lassa Fever,Nigeria,Ogun,Ogun LGA1,2019,14,63,11,1,117.3,28.2,27.6
Lassa Fever,Nigeria,Rivers,Rivers LGA2,2019,14,63,11,1,5.5,28.8,38.5
CSM,Nigeria,FCT,FCT LGA2,2019,14,66,0,1,77.0,36.9,40.0
CSM,Nigeria,FCT,FCT LGA1,2019,14,66,0,1,126.3,25.3,62.5
CSM,Nigeria,Oyo,Oyo LGA2,2019,14,66,0,1,35.0,34.2,82.6
Yellow Fever,Nigeria,Rivers,Rivers LGA2,2019,14,53,0,0,46.2,28.4,79.3
Yellow Fever,Nigeria,Oyo,Oyo LGA2,2019,14,53,0,0,151.4,32.9,51.7
Yellow Fever,Nigeria,Enugu,Enugu LGA2,2019,14,53,0,0,52.4,25.2,38.5
Cholera,Nigeria,FCT,FCT LGA2,2019,14,12,0,0,135.0,28.9,89.2
Cholera,Nigeria,FCT,FCT LGA1,2019,14,12,0,0,145.1,30.5,79.9
Cholera,Nigeria,Kaduna,Kaduna LGA1,2019,14,12,0,0,141.9,30.1,79.4
Measles,Nigeria,Ogun,Ogun LGA1,2019,14,2051,0,8,59.2,32.7,51.7
Measles,Nigeria,Oyo,Oyo LGA1,2019,14,2051,0,8,50.1,25.0,62.3
Measles,Nigeria,Kano,Kano LGA2,2019,14,2051,0,8,139.0,35.4,67.0
